Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
11	0.1257	gemcitabine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15108141	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60749	None	MCF7	0.08um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-K15108141:0.08
12	0.1257	AZD-8330	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37687095	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16666708	None	MCF10A	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-K37687095:0.37
13	0.1257	dasatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49328571	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3062316	http://www.drugbank.ca/drugs/DB01254	MCF10A	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-K49328571:0.12
14	0.1257	WZ-4-145	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U61997977	None	None	MCF10A	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-U61997977:1.11
15	0.1257	INK-128	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K59317601	None	None	MCF7	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_MCF7_24H:BRD-K59317601:10
16	0.1198	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	SW620	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-A15079084:10.0
17	0.1198	AS-605240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41895714	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10377751	None	MCF10A	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-K41895714:1.11
18	0.1198	AS-605240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41895714	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10377751	None	MCF10A	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-K41895714:3.33
19	0.1138	BI-2536	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U70626184	None	None	PC3	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_PC3_24H:BRD-U70626184:10
20	0.1138	trametinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12343256	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11707110	None	HCC515	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HCC515_24H:BRD-K12343256:10
21	0.1138	WZ-4-145	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U61997977	None	None	MCF10A	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_24H:BRD-U61997977:10
22	0.1138	AZD-5438	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72414522	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16747683	None	PC3	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_PC3_24H:BRD-K72414522:3.33
23	0.1078	ALCLOMETAZONE DIPROPIONATE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A90131694	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16667717	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HCC515_24H:BRD-A90131694:10.0
24	0.1078	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	CL34	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_CL34_6H:BRD-A15079084:10.0
25	0.1078	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	HCT116	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HCT116_6H:BRD-A52650764:10.0
26	0.1078	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_PC3_24H:BRD-A15079084:10.0
27	0.1078	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	SW620	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-A52650764:10.0
28	0.1078	Rosiglitazone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A97437073	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=77999	None	SW620	80.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-A97437073:80.0
29	0.1078	BRD-K65814004	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K65814004	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3101	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_MCF7_24H:BRD-K65814004:10.0
30	0.1078	PD-184352	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	HT29	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HT29_24H:BRD-K05104363:10
31	0.1078	PD-184352	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	HT29	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HT29_24H:BRD-K05104363:1.11
32	0.1078	PD-0325901	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49865102	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9826528	None	MCF10A	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-K49865102:1.11
33	0.1078	PD-0325901	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49865102	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9826528	None	HCC515	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HCC515_24H:BRD-K49865102:1.11
34	0.1078	saracatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19540840	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10302451	None	HCC515	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HCC515_24H:BRD-K19540840:10
35	0.1078	PD-0325901	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49865102	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9826528	None	HT29	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_HT29_24H:BRD-K49865102:0.04
36	0.1078	INK-128	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K59317601	None	None	MCF7	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_MCF7_24H:BRD-K59317601:3.33
37	0.1018	PREDNISOLONE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A27887842	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702106	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HCC515_24H:BRD-A27887842:10.0
38	0.1018	BRD-K57080016	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K57080016	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10127622	None	HCC515	80.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HCC515_24H:BRD-K57080016:80.0
39	0.1018	LY-2183240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37865504	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11507802	None	SW620	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-K37865504:10.0
40	0.1018	BRD-K18726304	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K18726304	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=53338848	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_MCF7_24H:BRD-K18726304:10.0
41	0.1018	S1057	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15600710	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11404337	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_MCF7_24H:BRD-K15600710:10.0
42	0.1018	dabrafenib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K09951645	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44462760	None	HT29	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_HT29_24H:BRD-K09951645:3.33
43	0.1018	trametinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12343256	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11707110	None	HCC515	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HCC515_24H:BRD-K12343256:3.33
44	0.1018	withaferin-a	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88378636	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=265237	None	HCC515	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HCC515_24H:BRD-K88378636:0.04
45	0.1018	CX-5461	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12787259	None	None	MCF7	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_MCF7_24H:BRD-K12787259:10
46	0.1018	erlotinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K70401845	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176871	None	MCF10A	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-K70401845:3.33
47	0.1018	PD-184352	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	MCF10A	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-K05104363:10
48	0.1018	AZD-8330	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37687095	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16666708	None	MCF10A	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-K37687095:0.04
49	0.1018	radicicol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A39996500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311380	None	MCF10A	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_24H:BRD-A39996500:0.37
50	0.1018	NVP-BEZ235	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12184916	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11977753	None	PC3	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_PC3_24H:BRD-K12184916:1.11
