Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
extracellular structure organization (GO:0043062)	12/360	0.00106825236969471863528180488600582975777797400951385498046875	0.039738988152643532625329925167534383945167064666748046875	-2.285117540451595	7.3704695389548895	DDR1;LAMA5;SPINT1;SDC4;ELF3;ITGB4;CDH1;VWA1;LAMC2;ITGB6;F11R;SERPINB5
epidermis development (GO:0008544)	7/120	0.000593587311161110678901786652517102993442676961421966552734375	0.02944193063359108741838809919499908573925495147705078125	-2.0867947132547346	7.356651293293554	DSP;LAMA5;SCEL;ELF3;GRHL3;LAMC2;EVPL
keratinocyte differentiation (GO:0030216)	5/54	0.00052981731082806155820608129403126440593041479587554931640625	0.0281560056611484151034563438997793127782642841339111328125	-2.0404785556714096	7.2844974295959	DSP;SCEL;ST14;IRF6;EVPL
establishment of protein localization to plasma membrane (GO:0090002)	5/60	0.00082789557292741616269238225100934869260527193546295166015625	0.03329482736529716657702948623409611172974109649658203125	-2.1271468060610763	7.237304802961001	TSPAN15;LAMA5;JUP;CDH1;PKP3
water homeostasis (GO:0030104)	4/38	0.00125822219076726052496006946768147827242501080036163330078125	0.04457701475861151896307177366907126270234584808349609375	-2.2570712526393053	7.020703455540466	CLDN4;CDH1;SCNN1A;SFN
negative regulation of stem cell differentiation (GO:2000737)	4/38	0.00125822219076726052496006946768147827242501080036163330078125	0.04457701475861151896307177366907126270234584808349609375	-2.200213871860875	6.843846473627587	EFNA1;FOXA1;JUP;OVOL2
regulation of water loss via skin (GO:0033561)	3/19	0.00186205960305329230874971102593917748890817165374755859375	0.057723847694652059836517565827307407744228839874267578125	-2.3801104739928576	6.788277109699033	CLDN4;CDH1;SFN
cell-substrate adhesion (GO:0031589)	7/140	0.00140200224613774566788382269777457622694782912731170654296875	0.04851579865704570837525722026839503087103366851806640625	-2.1116835679541364	6.389671064570843	DDR1;EFNA1;LAMA5;ITGB4;LYPD3;ITGB6;EPHA1
cell-substrate junction assembly (GO:0007044)	4/41	0.00163150994296789274284886772647951147519052028656005859375	0.053948595447471651975757112040810170583426952362060546875	-2.158711519617319	6.302841016812559	LAMA5;ITGB4;LAMC2;RHOD
multicellular organismal signaling (GO:0035637)	4/42	0.0017713457345940402352935105767528511933051049709320068359375	0.05729918376252025880024376647270401008427143096923828125	-2.1897032113162105	6.261388233744494	DSP;JUP;DSG2;DSC2
action potential (GO:0001508)	5/69	0.00148842732238723958297643701342849453794769942760467529296875	0.05033590581164119892587649474080535583198070526123046875	-2.0343077985065166	6.080620512802365	DSP;JUP;MYH14;DSG2;DSC2
regulation of keratinocyte proliferation (GO:0010837)	3/22	0.002712868227818930610961700722327805124223232269287109375	0.07475459116656608948847662077241693623363971710205078125	-2.31864613024411	6.013512262416938	CDH3;SFN;OVOL2
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	8/190	0.00185360277540161204334889788469808991067111492156982421875	0.057723847694652059836517565827307407744228839874267578125	-2.0966810680423533	5.979912384761825	CLDN4;CDH3;CLDN3;CDH1;CLDN7;DSG2;DSC2;MPZL2
cell-cell adhesion (GO:0098609)	8/191	0.001913073553901092037354825237116529024206101894378662109375	0.05809496833071071952847574948464171029627323150634765625	-2.095943464646168	5.964376480999254	CLDN4;CDH3;CLDN3;CDH1;CLDN7;DSG2;DSC2;MPZL2
wound healing (GO:0042060)	5/75	0.0021041985362584580444844650770619409740902483463287353515625	0.06262094843905170737929921642717090435326099395751953125	-2.1293054441311963	5.899571663770454	DSP;CDH3;ERBB3;ERBB2;GRHL3
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	3/22	0.002712868227818930610961700722327805124223232269287109375	0.07475459116656608948847662077241693623363971710205078125	-2.2593258908937277	5.859662573113347	CLDN4;CLDN3;CLDN7
columnar/cuboidal epithelial cell development (GO:0002066)	3/25	0.0037695552010729009052847349181547542684711515903472900390625	0.098405230512218888616615686260047368705272674560546875	-2.4199907304879122	5.611138903294533	KLF5;CDH1;SHROOM3
negative regulation of epithelial to mesenchymal transition (GO:0010719)	3/22	0.002712868227818930610961700722327805124223232269287109375	0.07475459116656608948847662077241693623363971710205078125	-2.143005665184348	5.557980874234692	EFNA1;FOXA1;OVOL2
epithelium development (GO:0060429)	9/256	0.0031876662328860420718423807073804709943942725658416748046875	0.08624086099153509266113104558826307766139507293701171875	-2.2254009218363837	5.453592397289975	DSP;SCEL;LAMA5;SDC4;ELF3;EPCAM;GRHL3;LAMC2;EVPL
filopodium assembly (GO:0046847)	3/24	0.0033935561014748912532501545769036965793929994106292724609375	0.090171633553475682987254913314245641231536865234375	-2.223661721622994	5.350219905381849	BAIAP2L1;ITGB4;RAB17
positive regulation of GTPase activity (GO:0043547)	13/482	0.004087841668636777066325738161367553402669727802276611328125	0.10310462400851087838571373822560417465865612030029296875	-2.2659753930574245	5.148321107631582	PLEKHG3;SH2D3A;GRTP1;ARHGEF16;PLEKHG6;GRHL3;ADAP1;ALS2CL;ERBB2;EPS8L1;EPS8L2;EPHA1;ARHGEF5
positive regulation of GTP catabolic process (GO:0033126)	13/483	0.004157444516472212810154207573987150681205093860626220703125	0.10310462400851087838571373822560417465865612030029296875	-2.2627298160092537	5.140947120749493	PLEKHG3;SH2D3A;GRTP1;ARHGEF16;PLEKHG6;GRHL3;ADAP1;ALS2CL;ERBB2;EPS8L1;EPS8L2;EPHA1;ARHGEF5
positive regulation of cell adhesion (GO:0045785)	7/171	0.004109779136599077571656568608204906922765076160430908203125	0.10310462400851087838571373822560417465865612030029296875	-2.2482699231311605	5.108094084504499	FOXA1;SDC4;GPR56;ERBB2;EPHA1;RHOD;PRKCZ
keratinization (GO:0031424)	4/47	0.002596778411726470732479032932360496488399803638458251953125	0.07475459116656608948847662077241693623363971710205078125	-1.9307665540360937	5.007529263354282	CDH3;SFN;EVPL;PPL
morphogenesis of embryonic epithelium (GO:0016331)	3/29	0.005522243389983176424518074298930514487437903881072998046875	0.1264168948353071864065810814281576313078403472900390625	-2.254817357122279	4.663345939367369	LAMA5;JUP;OVOL2
small GTPase mediated signal transduction (GO:0007264)	12/439	0.0051844177319199345743694351540398201905190944671630859375	0.1244260255660784297848664436969556845724582672119140625	-2.199440204714437	4.583729968064014	CNKSR1;RAB20;RAB25;GPR56;SH2D3A;ARHGEF16;RASEF;EPS8L1;EPS8L2;RAB17;RHOD;MAPK13
regulation of stem cell differentiation (GO:2000736)	5/91	0.00463273900092559497154720560274654417298734188079833984375	0.1130084530061850056625871729920618236064910888671875	-2.0915134244294533	4.560111362771023	FOXA1;EFNA1;JUP;TACSTD2;OVOL2
positive regulation of cellular component biogenesis (GO:0044089)	8/249	0.00885578467361155911852232947012453223578631877899169921875	0.185881169461541595477882538034464232623577117919921875	-2.291635344663221	3.856014903662492	BAIAP2L1;SDC4;EPS8L1;F2RL1;EPS8L2;EPHA1;MPP7;ARHGEF5
skin development (GO:0043588)	3/35	0.00894047800091909115882682357323574251495301723480224609375	0.185881169461541595477882538034464232623577117919921875	-2.1081134822273833	3.547212267000207	JUP;GJB3;ITGB4
Ras protein signal transduction (GO:0007265)	6/148	0.00808027250416229990415128980885128839872777462005615234375	0.1742528331332391655639213468020898289978504180908203125	-1.9903271488558643	3.477595071388643	CNKSR1;GPR56;EPS8L1;EPS8L2;RHOD;MAPK13
cell morphogenesis (GO:0000902)	7/204	0.01013538125036084723562535003793527721427381038665771484375	0.2010859640071591958321306492507574148476123809814453125	-2.1053724108752845	3.3770653089541307	EFNA1;LAMA5;JUP;CDH1;MAP7;SHROOM3;EPHA1
regulation of Ras protein signal transduction (GO:0046578)	5/109	0.0094696964128170024732611409490345977246761322021484375	0.19041767921988783651698895482695661485195159912109375	-1.9985698817739819	3.3146987142073323	GPR56;TNK1;EPS8L1;F2RL1;EPS8L2
positive regulation of cell-matrix adhesion (GO:0001954)	3/39	0.01177423078004859353928868159755438682623207569122314453125	0.22177285317357353644496242850436829030513763427734375	-2.1110886855522195	3.179514057233162	SDC4;EPHA1;PRKCZ
substrate adhesion-dependent cell spreading (GO:0034446)	3/37	0.0103005489668123763336016196490163565613329410552978515625	0.2016739060870633704070087333093397319316864013671875	-1.9798675187156562	3.1699722441665212	EFNA1;LAMA5;EPHA1
regulation of heart rate (GO:0002027)	4/72	0.01073079963041321908956415853708676877431571483612060546875	0.2047106391032675609675806072118575684726238250732421875	-1.9547925087914169	3.10060941167109	DSP;JUP;DSG2;DSC2
response to wounding (GO:0009611)	6/167	0.0138052388101559397881601398694328963756561279296875	0.2460669114912640009773525662239990197122097015380859375	-2.167294626151497	3.038876022399575	DSP;CDH3;ERBB3;ITGB4;ERBB2;GRHL3
positive regulation of cell migration (GO:0030335)	8/280	0.016672690211770015145109624654651270247995853424072265625	0.286049248573167658182825334733934141695499420166015625	-2.2651640496894188	2.835059584090568	GRB7;ANXA3;FAM110C;F2RL1;S100A14;EPHA1;RHOD;CXCL16
plasma membrane organization (GO:0007009)	5/121	0.0141545598825579162227672469498429563827812671661376953125	0.247788060061719772608768153077107854187488555908203125	-1.994027363768984	2.782030077892342	FA2H;CDH1;MAP7;PRKCZ;CRB3
regulation of cell-matrix adhesion (GO:0001952)	4/78	0.013890874035797161345495709383612847886979579925537109375	0.2460669114912640009773525662239990197122097015380859375	-1.981569390082031	2.778461051663359	DDR1;SDC4;EPHA1;PRKCZ
protein localization to plasma membrane (GO:0072659)	4/77	0.013327689254331247237228552648957702331244945526123046875	0.2448345877832703021415028388219070620834827423095703125	-1.952227699098946	2.7471210310974947	CDH1;MAP7;PRKCZ;CRB3
positive regulation of protein transport (GO:0051222)	7/231	0.018554655795461415246361269737462862394750118255615234375	0.29687449272738264394178031579940579831600189208984375	-2.2296949663008716	2.7078437158737736	JUP;TMEM30B;CDH1;F2RL1;SFN;PRKCZ;EXPH5
positive regulation of cell motility (GO:2000147)	8/287	0.0189699566803144710480655277251571533270180225372314453125	0.300290378088382270416190067408024333417415618896484375	-2.246083318564231	2.702050238679919	GRB7;ANXA3;FAM110C;F2RL1;S100A14;EPHA1;RHOD;CXCL16
sensory perception (GO:0007600)	11/457	0.0173013658411190103525445493914958206005394458770751953125	0.286049248573167658182825334733934141695499420166015625	-2.1208757835547862	2.6544696476429683	CDH3;MARVELD2;GJB3;CDH1;ATP8B1;MYO6;SCNN1A;SLC52A3;TACSTD2;MYH14;CNNM4
protein kinase C signaling (GO:0070528)	2/13	0.0120956662165407242970349699362486717291176319122314453125	0.2249793916276574545776156810461543500423431396484375	-1.6920122520334304	2.5240533104933047	GPR56;PRKCZ
sphingolipid metabolic process (GO:0006665)	5/128	0.01750305051409760392910897053297958336770534515380859375	0.286203727087661896621995083478395827114582061767578125	-1.9995495104771503	2.501539193009185	FA2H;MAP7;PPAP2C;SMPDL3B;SERINC2
negative regulation of epidermis development (GO:0045683)	2/14	0.01372195659212290148876167705793704953975975513458251953125	0.2460669114912640009773525662239990197122097015380859375	-1.772158399326222	2.4848350577832434	CDH3;OVOL2
establishment of skin barrier (GO:0061436)	2/16	0.0172394608839202441441518232068119687028229236602783203125	0.286049248573167658182825334733934141695499420166015625	-1.9806959607890007	2.4790218031114657	CLDN4;SFN
positive regulation of cellular component movement (GO:0051272)	8/296	0.022246154207925368517795305933759664185345172882080078125	0.33436643900396922912676700434531085193157196044921875	-2.252566750920487	2.4677268916672213	GRB7;ANXA3;FAM110C;F2RL1;S100A14;EPHA1;RHOD;CXCL16
regulation of actin cytoskeleton organization (GO:0032956)	7/240	0.0222167334981119186931852738098314148373901844024658203125	0.33436643900396922912676700434531085193157196044921875	-2.1638923950115556	2.370582559501118	BAIAP2L1;SDC4;TACSTD2;F2RL1;GRHL3;EPHA1;SSH3
positive regulation of Rac GTPase activity (GO:0032855)	3/46	0.0178460932795381672921752880256462958641350269317626953125	0.28864116086905211577828822555602528154850006103515625	-1.9048193113076815	2.366873275058932	ARHGEF16;EPS8L1;EPS8L2
positive regulation of locomotion (GO:0040017)	8/304	0.025478480323906420312862763921657460741698741912841796875	0.341257418142382196180051323608495295047760009765625	-2.19614499072005	2.361115437443616	GRB7;ANXA3;FAM110C;F2RL1;S100A14;EPHA1;RHOD;CXCL16
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	2/10	0.007773546049055929559046251853260400821454823017120361328125	0.1701034782499297737246024553314782679080963134765625	-1.3278060034914911	2.3520069488722974	FOXA1;EPCAM
establishment of endothelial barrier (GO:0061028)	2/16	0.0172394608839202441441518232068119687028229236602783203125	0.286049248573167658182825334733934141695499420166015625	-1.8545271358601458	2.3211100013693184	MARVELD2;F2RL1
cell junction maintenance (GO:0034331)	2/11	0.00911917027600304963552702020024298690259456634521484375	0.185881169461541595477882538034464232623577117919921875	-1.3730342856618818	2.3103329598583544	CAMSAP3;PLEKHA7
positive regulation of Rho protein signal transduction (GO:0035025)	2/11	0.00911917027600304963552702020024298690259456634521484375	0.185881169461541595477882538034464232623577117919921875	-1.372093302581849	2.308749616858714	GPR56;F2RL1
morphogenesis of an epithelium (GO:0002009)	8/296	0.022246154207925368517795305933759664185345172882080078125	0.33436643900396922912676700434531085193157196044921875	-2.1071232762148195	2.308390981376425	FOXA1;DDR1;LAMA5;JUP;SPINT1;TACSTD2;SERPINB5;OVOL2
ectoderm development (GO:0007398)	2/16	0.0172394608839202441441518232068119687028229236602783203125	0.286049248573167658182825334733934141695499420166015625	-1.8309648700400811	2.29161967480987	JUP;GRHL3
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	4/88	0.0203615583442862957408436841433285735547542572021484375	0.3189263033294527094341219708439894020557403564453125	-2.0001196221572295	2.285727157496439	FOXA1;EFNA1;TACSTD2;OVOL2
tissue morphogenesis (GO:0048729)	9/358	0.0236530578298044628915430820370602305047214031219482421875	0.341257418142382196180051323608495295047760009765625	-2.116451820618698	2.275435860284446	DSP;FOXA1;DDR1;LAMA5;JUP;SPINT1;TACSTD2;SERPINB5;OVOL2
hemidesmosome assembly (GO:0031581)	2/12	0.0105606471233940894804970156428680638782680034637451171875	0.20408107687805721042195727932266891002655029296875	-1.4132227271425668	2.2459471592770193	ITGB4;LAMC2
actin filament-based process (GO:0030029)	8/303	0.025057450035925209197440466368789202533662319183349609375	0.341257418142382196180051323608495295047760009765625	-2.0724517262794087	2.228130558297345	EPB41L4B;KRT19;EPB41L1;MYO6;MYH14;SHROOM3;PRKCZ;ARHGEF5
neutrophil activation (GO:0042119)	2/19	0.023145679576547006917053295182995498180389404296875	0.3376546197049210551455189488478936254978179931640625	-2.017087435951525	2.1900158538292684	ANXA3;F2RL1
establishment of cell polarity (GO:0030010)	3/49	0.020890068419440986635660095771527267061173915863037109375	0.323796060501335303261072340319515205919742584228515625	-1.9277562302458129	2.17381774256322	WWC1;PRKCZ;MPP7
regulation of hair cycle (GO:0042634)	2/19	0.023145679576547006917053295182995498180389404296875	0.3376546197049210551455189488478936254978179931640625	-1.9670106871816688	2.135645938197685	FA2H;CDH3
regulation of epithelial cell proliferation (GO:0050678)	7/258	0.0309874831272862992503913659447789541445672512054443359375	0.370383227884244770056199058672063983976840972900390625	-2.1450725560755406	2.130522654039861	CDH3;CDH1;ERBB2;TACSTD2;SFN;SERPINB5;OVOL2
regulation of actin filament-based process (GO:0032970)	7/257	0.0304472043508532685951450957873021252453327178955078125	0.36974826891079981550092270481400191783905029296875	-2.114175813135831	2.1034629865830348	BAIAP2L1;SDC4;TACSTD2;F2RL1;GRHL3;EPHA1;SSH3
regulation of blood circulation (GO:1903522)	6/204	0.0320739701997577453251864199046394787728786468505859375	0.370383227884244770056199058672063983976840972900390625	-2.0899656101904616	2.075789495354587	DSP;JUP;P2RY2;F2RL1;DSG2;DSC2
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	5/142	0.0256860422257707034232598886092091561295092105865478515625	0.341257418142382196180051323608495295047760009765625	-1.9215173325362074	2.065858245397175	CDH3;CDH1;DSG2;DSC2;MPZL2
regulation of small GTPase mediated signal transduction (GO:0051056)	7/256	0.029913324152245797382665415398150798864662647247314453125	0.36974826891079981550092270481400191783905029296875	-2.0480441131995883	2.0376663852827033	GPR56;ARHGEF16;TNK1;EPS8L1;F2RL1;EPS8L2;RHOD
actin cytoskeleton organization (GO:0030036)	7/253	0.0283497857239691959663208109532206435687839984893798828125	0.36974826891079981550092270481400191783905029296875	-2.0443811591411754	2.034021991928303	EPB41L4B;KRT19;EPB41L1;MYH14;SHROOM3;PRKCZ;ARHGEF5
regulation of cell-substrate adhesion (GO:0010810)	5/149	0.0305638690027072446042666342691518366336822509765625	0.36974826891079981550092270481400191783905029296875	-2.0424880149505933	2.0321384405659177	DDR1;SDC4;TACSTD2;EPHA1;PRKCZ
granulocyte activation (GO:0036230)	2/21	0.0274788333698879581878937727879019803367555141448974609375	0.361845168622949409087397043549572117626667022705078125	-1.9792301277107887	2.0119643567748717	ANXA3;F2RL1
negative regulation of transcription by competitive promoter binding (GO:0010944)	2/10	0.007773546049055929559046251853260400821454823017120361328125	0.1701034782499297737246024553314782679080963134765625	-1.1317157908140585	2.004662877817927	MUC1;OVOL2
regulation of epidermis development (GO:0045682)	3/53	0.0253641671720191731742577445629649446345865726470947265625	0.341257418142382196180051323608495295047760009765625	-1.8602589821609552	1.9999982783392096	CDH3;SFN;OVOL2
regulation of Notch signaling pathway (GO:0008593)	3/53	0.0253641671720191731742577445629649446345865726470947265625	0.341257418142382196180051323608495295047760009765625	-1.8466067289065144	1.9853204924684411	TSPAN15;CD46;OVOL2
glandular epithelial cell differentiation (GO:0002067)	2/20	0.0252740415738189720673556593055764096789062023162841796875	0.341257418142382196180051323608495295047760009765625	-1.8223263792614146	1.9592162467943985	FOXA1;AGR2
